metric,value
PPS_input_instances,22784.0
PR_input_instances,19584.0
PPS_valid_instances,21015.0
PR_valid_instances,18475.0
PPS_excluded_instances,1769.0
PR_excluded_instances,1109.0
PPS_unique_canonical_molecules,20420.0
PR_unique_canonical_molecules,17035.0
overlapping_canonical_molecules,3.0
canonical_molecule_union,37452.0
overlap_fraction_of_PPS,0.00014691478942213516
overlap_fraction_of_PR,0.0001761080129145876
canonical_jaccard_similarity,8.010253123998718e-05
median_best_margin_PR_minus_PPS,1.5428900000000008
mean_best_margin_PR_minus_PPS,1.3365466666666668
robust_PPS_preference_count,0.0
robust_PR_preference_count,0.0
best_median_disagreement_count,0.0
