crossdock_id,crossdock_arm,molecule_id,own_state,opposite_state,source_step,ligand_prep_mode,prepared_variant_count,docked_pose_count,own_state_score,opposite_state_score,selectivity_margin,absolute_score_difference,preferred_state,own_state_preferred,selectivity_threshold,strong_score_threshold,selectivity_class,best_crossdock_variant,best_crossdock_smiles,own_state_ligand_efficiency,opposite_state_ligand_efficiency,ligand_efficiency_margin
L_PPS_to_R_PR__354_49-1,L_PPS_to_R_PR,354_49-1,PPS,PR,354,off,1,1,-16.0806,-8.13662,7.94398,7.94398,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/354/354_49.smi:1-1,O=C1CN(C(=O)CNC(=O)c2c[nH]c(C(=O)NCc3ccc(C[N@H+]4CC[C@H](CNC(=O)c5ccc(C(F)(F)F)[nH]5)CC4)cc3)c2)CCN1,-0.335013,-0.169513,0.1655
L_PPS_to_R_PR__301_44-1,L_PPS_to_R_PR,301_44-1,PPS,PR,301,off,1,1,-15.8853,-6.89172,8.993580000000001,8.993580000000001,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/301/301_44.smi:1-1,NC(=O)c1cccc(C(=O)N[C@H]2Cc3n[nH]c(C(=O)NCc4ccc(C[NH+]5CCN(C(=O)c6cccc(C(F)(F)F)c6)CC5)cc4)c3C2)c1,-0.324189,-0.140647,0.183542
L_PPS_to_R_PR__244_14-6,L_PPS_to_R_PR,244_14-6,PPS,PR,244,off,1,1,-15.6897,-9.67572,6.01398,6.01398,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/244/244_14.smi:1-6,NC(=O)c1ccc2c(c1)CC[N@H+](Cc1ccc(C[N@H+]3CC[C@H](CNC(=O)CNC(=O)CNc4cc5ccccc5[nH]4)C3)cc1)C2,-0.348661,-0.215016,0.13364499999999999
L_PPS_to_R_PR__251_62-4,L_PPS_to_R_PR,251_62-4,PPS,PR,251,off,1,1,-15.5162,-8.40563,7.110569999999999,7.110569999999999,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/251/251_62.smi:1-4,O=C(CO)N[C@@H]1CCc2cccc(NC(=O)N[C@@H]3CC[N@H+](Cc4ccc(CN5C=C[C@@H](NC(=O)c6ccc7c(c6)CC[NH2+]C7)CC5)cc4)C3)c2C1,-0.304239,-0.164816,0.139423
L_PPS_to_R_PR__237_40-1,L_PPS_to_R_PR,237_40-1,PPS,PR,237,off,1,1,-15.2959,-8.97312,6.32278,6.32278,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/237/237_40.smi:1-1,NC(=O)c1cccc(C(=O)NCC(=O)NCC(=O)N2CCC([N@H+]3CCCN(Cc4ccc(C[N@@H+]5CCc6cc(C[NH3+])ccc6C5)cc4)C3)CC2)c1,-0.299919,-0.175943,0.123976
L_PPS_to_R_PR__247_46-7,L_PPS_to_R_PR,247_46-7,PPS,PR,247,off,1,1,-15.2575,-7.37552,7.88198,7.88198,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/247/247_46.smi:1-7,NC(=O)c1ccc(C[C@H]([NH3+])C(=O)NC[C@@H]2CC[N@@H+](Cc3ccc(C[NH+]4CCN(C(=O)c5cc(O)cc(C(F)(F)F)c5)CC4)cc3)C2)cc1,-0.317864,-0.153657,0.164207
L_PPS_to_R_PR__195_36-4,L_PPS_to_R_PR,195_36-4,PPS,PR,195,off,1,1,-15.2394,-7.88514,7.35426,7.35426,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/195/195_36.smi:1-4,NC(=O)C[N@@H+]1CC[C@H](c2ccc(CNC(=O)Nc3cccc(C[NH+]4CCN(C(=O)Cc5ccc(C(N)=O)cc5)CC4)c3)c(F)c2)C1,-0.331292,-0.171416,0.15987599999999996
L_PPS_to_R_PR__235_46-4,L_PPS_to_R_PR,235_46-4,PPS,PR,235,off,1,1,-15.2269,-7.34036,7.88654,7.88654,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/235/235_46.smi:1-4,NC(=O)c1ccc(CC[C@H]2CC[C@@H](C(=O)NCC(=O)NC[C@H]3CC[N@H+](Cc4cccc(CNC(=O)c5ccc6ccc(C[NH3+])cc6c5)c4)C3)CC2)cc1,-0.287301,-0.138497,0.14880399999999996
L_PPS_to_R_PR__198_56-5,L_PPS_to_R_PR,198_56-5,PPS,PR,198,off,1,1,-15.158,-8.0718,7.0862,7.0862,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/198/198_56.smi:1-5,NC(=O)c1ccc(CC(=O)N2CCC[N@@H+](Cc3ccc(C[N@H+]4CCC[C@H](CNC(=O)Nc5ccccc5C(N)=O)CC4)cc3)CC2)cc1,-0.315792,-0.168163,0.147629
L_PPS_to_R_PR__318_5-1,L_PPS_to_R_PR,318_5-1,PPS,PR,318,off,1,1,-15.0351,-9.6209,5.414199999999999,5.414199999999999,PPS,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_06_02_SMILES-RNN_PPS_tester_run_2/PPS_GlideDock/318/318_5.smi:1-1,NC(=O)c1ccc(CNC(=O)c2ccc(C(=O)N3CC[NH+](Cc4ccc(CNC(=O)c5ccc6ncncc6c5)cc4)CC3)nn2)cc1,-0.313231,-0.200435,0.11279599999999998
L_PR_to_R_PPS__248_35-2,L_PR_to_R_PPS,248_35-2,PR,PPS,248,off,1,1,-12.1111,-9.41149,2.69961,2.69961,PR,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/248/248_35.smi:1-2,NC(=O)c1ccc(NC(=O)CNC[C@@H]2[NH2+][C@@H](CCc3ccc(O)cc3)[C@H]2O)cc1,-0.417626,-0.324534,0.09309200000000001
L_PR_to_R_PPS__287_14-1,L_PR_to_R_PPS,287_14-1,PR,PPS,287,off,1,1,-12.1023,-8.75785,3.34445,3.34445,PR,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/287/287_14.smi:1-1,NC(=O)c1ccc(C[C@H](O)[C@H](O)CC[N@H+]2CC[C@@H](c3ccc(O)cc3)[C@@H](O)C2)cc1,-0.403409,-0.291928,0.111481
L_PR_to_R_PPS__196_17-5,L_PR_to_R_PPS,196_17-5,PR,PPS,196,off,1,1,-11.9179,-8.2212,3.6967,3.6967,PR,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/196/196_17.smi:1-5,Oc1ccc([C@H]2[NH2+]C[C@H](NC/C(=N/CCCc3ccc4c(c3)OCO4)[C@@H]3CCc4cc(O)ccc43)[C@H]2O)cc1,-0.305587,-0.2108,0.09478700000000001
L_PR_to_R_PPS__284_8-2,L_PR_to_R_PPS,284_8-2,PR,PPS,284,off,1,1,-11.5797,-9.63767,1.9420300000000008,1.9420300000000008,PR,True,2.0,-8.0,nonselective_strong,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_8.smi:1-2,NC(=O)c1ccc(NC(=O)CCC[NH2+][C@@H]2CC[C@@H](c3ccc(O)cc3)[C@H]2O)cc1,-0.3993,-0.332333,0.066967
L_PR_to_R_PPS__291_3-2,L_PR_to_R_PPS,291_3-2,PR,PPS,291,off,1,1,-11.5646,-8.95297,2.61163,2.61163,PR,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/291/291_3.smi:1-2,NC(=O)c1ccc(NC(=O)CCC[NH2+][C@@H]2[C@@H](O)[C@@H](c3ccc(O)cc3)[C@@H]2F)cc1,-0.398778,-0.308723,0.090055
L_PR_to_R_PPS__237_61-6,L_PR_to_R_PPS,237_61-6,PR,PPS,237,off,1,1,-11.5319,-8.00934,3.5225600000000004,3.5225600000000004,PR,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/237/237_61.smi:1-6,Oc1ccc(/C=C\C[NH2+]CCN[C@H]2C[NH2+][C@H](c3ccc(O)cc3)[C@H]2O)cc1,-0.427109,-0.296642,0.130467
L_PR_to_R_PPS__261_48-6,L_PR_to_R_PPS,261_48-6,PR,PPS,261,off,1,1,-11.5304,-11.2095,0.32089999999999996,0.32089999999999996,PR,True,2.0,-8.0,nonselective_strong,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/261/261_48.smi:1-6,Oc1ccc([C@H]2CC[NH2+][C@H](CC[C@H](O)Cc3ccc(O)cc3/C=C\Cc3ccccc3)[C@H]2O)cc1,-0.32944,-0.320272,0.00916800000000001
L_PR_to_R_PPS__290_10-7,L_PR_to_R_PPS,290_10-7,PR,PPS,290,off,1,1,-11.53,-9.51504,2.0149599999999985,2.0149599999999985,PR,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/290/290_10.smi:1-7,NC(=O)c1ccc([C@H](O)C[NH2+]CCCC[N@@H+]2CC[C@H](c3ccc(O)cc3)[C@@H](O)C2)cc1,-0.371937,-0.306937,0.065
L_PR_to_R_PPS__284_41-3,L_PR_to_R_PPS,284_41-3,PR,PPS,284,off,1,1,-11.5092,-11.3083,0.20090000000000074,0.20090000000000074,PR,True,2.0,-8.0,nonselective_strong,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_41.smi:1-3,NC(=O)c1ccc(CC(=O)NCC[NH2+][C@H]2CC[C@H](c3ccc(O)cc3)[C@H]2O)cc1,-0.39687,-0.389941,0.0069290000000000185
L_PR_to_R_PPS__277_23-1,L_PR_to_R_PPS,277_23-1,PR,PPS,277,off,1,1,-11.4635,-6.74459,4.71891,4.71891,PR,True,2.0,-8.0,selective_own_state,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/277/277_23.smi:1-1,NC(=O)c1ccc([C@H]2CC[NH2+][C@@H](NC/C=C/Cc3ccc(C(=O)[O-])cc3)[C@H]2O)cc1,-0.382116,-0.22482,0.15729600000000002
