severity,check,affected_count,message
PASS,manifest_required_columns,0,All required columns present
PASS,best_scores_required_columns,0,All required columns present
PASS,manifest_unique_crossdock_id,0,crossdock_id values are unique
PASS,best_scores_unique_crossdock_id,0,crossdock_id values are unique
PASS,arm_state_mapping,0,Both arm/state mappings are consistent
PASS,both_arms_present,0,Both expected arms are present
PASS,completed_to_best_score_reconciliation,0,Every completed manifest row has exactly one best-score row
PASS,finite_opposite_state_scores,0,All opposite-state scores are finite
PASS,negative_opposite_state_scores,0,All opposite-state scores are negative
PASS,own_state_score_columns,0,PPS and PR own-state score columns are present
PASS,finite_own_state_scores,0,All own-state scores are finite
PASS,manifest_best_score_match,0,Manifest and best-score values match
