selection_index,molecule_id,source_run,source_step,ligand_prep_mode,prepared_variant_count,docked_pose_count,pose,title,smiles,i_epik_Tot_Q,i_epik_Tot_abs_Q,i_i_glide_confnum,i_i_glide_lignum,i_i_glide_posenum,i_i_glide_rotatable_bonds,i_lp_mmshare_version,i_m_source_file_index,i_f3d_flags,b_lp_Chiralities_Consistent,r_epik_Charging_Adjusted_Penalty,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_i_docking_score,r_i_glide_ecoul,r_i_glide_eff_state_penalty,r_i_glide_einternal,r_i_glide_emodel,r_i_glide_energy,r_i_glide_erotb,r_i_glide_esite,r_i_glide_evdw,r_i_glide_gscore,r_i_glide_hbond,r_i_glide_ligand_efficiency,r_i_glide_ligand_efficiency_ln,r_i_glide_ligand_efficiency_sa,r_i_glide_lipo,r_i_glide_metal,r_i_glide_rewards,r_lp_Energy,r_lp_tautomer_probability,s_epik_cmdline,s_epik_input,s_i_glide_gridfile,s_lp_Force_Field,s_lp_Variant,s_m_source_file,s_epik_Chemistry_Notes
1,248_35-2,PR,248,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/248/248_35.smi:1,NC(=O)c1ccc(NC(=O)CNC[C@@H]2[NH2+][C@@H](CCc3ccc(O)cc3)[C@H]2O)cc1,1,1,489,1,179,12,66139,1,0,1,0.0432447,0.0146875,0.00737876,0.00730872,0.0358659,-9.41149,-18.6215,0.0358659,7.60451,-103.326,-65.5465,1.10517,-0.2,-46.925,-9.44735,-0.72,-0.324534,-2.15499,-0.997071,-3.6625,0,-0.83054,38.7824,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbTkhdQyg9TylbQ0gyXVtOSF1bQ0gyXVtDQEhdMltOSF1bQ0BIXShbQ0BIXTJbT0hdKVtDSDJdW0NIMl1jM1tjSF1bY0hdYyhbT0hdKVtjSF1bY0hdMw==,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/248/248_35.smi:1-2,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/248/248_35.smi,
2,287_14-1,PR,287,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/287/287_14.smi:1,NC(=O)c1ccc(C[C@H](O)[C@H](O)CC[N@H+]2CC[C@@H](c3ccc(O)cc3)[C@@H](O)C2)cc1,1,1,352,1,377,12,66139,1,0,1,0.0271784,0.014081,0.0135892,0.000491759,0.0135892,-8.75785,-10.5765,0.0135892,5.5312,-77.4995,-54.6943,0.800681,-0.0520436,-44.1178,-8.77144,-0.421531,-0.291928,-1.98988,-0.907089,-4.4903,0,-0.815879,40.809,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0gyXVtDQEhdKFtPSF0pW0NASF0oW09IXSlbQ0gyXVtDSDJdTjJbQ0gyXVtDSDJdW0NASF0oW0NAQEhdKFtPSF0pW0NIMl0yKWMzW2NIXVtjSF1jKFtPSF0pW2NIXVtjSF0z,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/287/287_14.smi:1-1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/287/287_14.smi,
3,196_17-5,PR,196,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/196/196_17.smi:1,Oc1ccc([C@H]2[NH2+]C[C@H](NC/C(=N/CCCc3ccc4c(c3)OCO4)[C@@H]3CCc4cc(O)ccc43)[C@H]2O)cc1,1,1,134,1,266,12,66139,1,0,1,0.551255,0.089255,0.059344,0.029911,0.491911,-8.2212,-12.4806,0.491911,16.5963,-43.5051,-44.9715,0.58571,-0.0803907,-32.4909,-8.71311,-0.608,-0.2108,-1.76286,-0.714867,-4.80993,0,-0.303866,59.4566,0.499992,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W09IXWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0BIXTJbTkhdW0NIMl1bQ0BIXShbQ0BIXTJbT0hdKVtOSF1bQ0gyXS9DKD1DKC9bQ0gyXVtDSDJdMyljKGMzNClbY0hdW2NIXWMoW2NIXTQpW09IXSlbTkhdW0NIMl1bQ0gyXVtDSDJdYyhbY0hdW2NIXTUpW2NIXWMoYzU2KU9bQ0gyXU82,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/196/196_17.smi:1-5,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/196/196_17.smi,"This compound has an imine and may undergo hydrolysis. This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde."
4,284_8-2,PR,284,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_8.smi:1,NC(=O)c1ccc(NC(=O)CCC[NH2+][C@@H]2CC[C@@H](c3ccc(O)cc3)[C@H]2O)cc1,1,1,173,1,226,11,66139,1,0,1,0.0107055,0.00566052,0.00535277,0.000307755,0.00535277,-9.63767,-15.8636,0.00535277,6.54657,-99.0829,-63.5836,0.986758,-0.1,-47.72,-9.64302,-0.450084,-0.332333,-2.20678,-1.02103,-4.03605,0,-1.27811,36.9858,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbTkhdQyg9TylbQ0gyXVtDSDJdW0NIMl1bTkhdW0NASF0yW0NIMl1bQ0gyXVtDQEhdKFtDQEhdMltPSF0pYzNbY0hdW2NIXWMoW09IXSlbY0hdW2NIXTM=,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_8.smi:1-2,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_8.smi,
5,291_3-2,PR,291,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/291/291_3.smi:1,NC(=O)c1ccc(NC(=O)CCC[NH2+][C@@H]2[C@@H](O)[C@@H](c3ccc(O)cc3)[C@@H]2F)cc1,1,1,104,1,107,11,66139,1,0,1,0.250524,0.125704,0.125262,0.000441767,0.125262,-8.95297,-12.92,0.125262,5.22703,-92.0299,-58.3281,0.969331,-0.1,-45.4081,-9.07824,-0.519455,-0.308723,-2.05,-0.948496,-3.67491,0,-1.5448,40.9695,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbTkhdQyg9TylbQ0gyXVtDSDJdW0NIMl1bTkhdW0NASF0yW0NAQEhdKFtPSF0pW0NASF0oW0NAQEhdMkYpYzNbY0hdW2NIXWMoW09IXSlbY0hdW2NIXTM=,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/291/291_3.smi:1-2,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/291/291_3.smi,
6,237_61-6,PR,237,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/237/237_61.smi:1,Oc1ccc(/C=C\C[NH2+]CCN[C@H]2C[NH2+][C@H](c3ccc(O)cc3)[C@H]2O)cc1,2,2,477,1,177,11,66139,1,0,1,0.160315,0.079067,0.0708994,0.00816762,0.0894154,-8.00934,-16.5146,0.0894154,6.3842,-84.523,-53.1368,0.783375,-0.188029,-36.6222,-8.09876,-0.698412,-0.296642,-1.86444,-0.889927,-2.23538,0,-1.45202,42.885,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W09IXWMxW2NIXVtjSF1jKFtjSF1bY0hdMSkvW0NIXT1bQ0hdL1tDSDJdW05IXVtDSDJdW0NIMl1bTkhdW0NASF0yW0NIMl1bTkhdW0NASF0oW0NASF0yW09IXSljM1tjSF1bY0hdYyhbT0hdKVtjSF1bY0hdMw==,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/237/237_61.smi:1-6,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/237/237_61.smi,
7,261_48-6,PR,261,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/261/261_48.smi:1,Oc1ccc([C@H]2CC[NH2+][C@H](CC[C@H](O)Cc3ccc(O)cc3/C=C\Cc3ccccc3)[C@H]2O)cc1,1,1,267,1,158,13,66139,1,0,1,0.00911808,0.00552465,0.00455904,0.000965613,0.00455904,-11.2095,-17.4717,0.00455904,6.13376,-109.674,-70.4139,0.718694,0.0,-52.9422,-11.2141,-0.736419,-0.320272,-2.46074,-1.04763,-5.75539,0,-0.173106,46.9154,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W09IXWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0BIXTJbQ0gyXVtDSDJdW05IXVtDQEhdKFtDQEhdMltPSF0pW0NIMl1bQ0gyXVtDQEhdKFtPSF0pW0NIMl1jM1tjSF1bY0hdYyhbT0hdKVtjSF1jMy9bQ0hdPVtDSF0vW0NIMl1jNFtjSF1bY0hdW2NIXVtjSF1bY0hdNA==,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/261/261_48.smi:1-6,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/261/261_48.smi,
8,290_10-7,PR,290,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/290/290_10.smi:1,NC(=O)c1ccc([C@H](O)C[NH2+]CCCC[N@@H+]2CC[C@H](c3ccc(O)cc3)[C@@H](O)C2)cc1,2,2,366,1,85,13,66139,1,0,1,0.0241315,0.0246241,0.0241315,0.000492591,0.0,-9.51504,-18.0565,0.0,6.6782,-93.9776,-58.754,0.67855,-0.1,-40.6974,-9.51504,-0.762837,-0.306937,-2.14593,-0.964205,-3.40762,0,-1.17978,54.9584,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0BIXShbT0hdKVtDSDJdW05IXVtDSDJdW0NIMl1bQ0gyXVtDSDJdTjJbQ0gyXVtDSDJdW0NASF0oW0NAQEhdKFtPSF0pW0NIMl0yKWMzW2NIXVtjSF1jKFtPSF0pW2NIXVtjSF0z,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/290/290_10.smi:1-7,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/290/290_10.smi,
9,284_41-3,PR,284,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_41.smi:1,NC(=O)c1ccc(CC(=O)NCC[NH2+][C@H]2CC[C@H](c3ccc(O)cc3)[C@H]2O)cc1,1,1,159,1,11,11,66139,1,0,1,0.0485838,0.0246143,0.0242919,0.000322358,0.0242919,-11.3083,-24.0887,0.0242919,7.35255,-111.173,-67.3759,0.986758,-0.198886,-43.2872,-11.3326,-1.28,-0.389941,-2.58931,-1.19802,-3.86695,0,-1.19582,27.8822,1.0,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0gyXUMoPU8pW05IXVtDSDJdW0NIMl1bTkhdW0NASF0yW0NIMl1bQ0gyXVtDQEhdKFtDQEhdMltPSF0pYzNbY0hdW2NIXWMoW09IXSlbY0hdW2NIXTM=,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_41.smi:1-3,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/284/284_41.smi,
10,277_23-1,PR,277,off,1,1,1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/277/277_23.smi:1,NC(=O)c1ccc([C@H]2CC[NH2+][C@@H](NC/C=C/Cc3ccc(C(=O)[O-])cc3)[C@H]2O)cc1,0,2,213,1,145,9,66139,1,0,1,0.134043,0.00168884,0.00167367,1.51684e-05,0.13237,-6.74459,-8.47723,0.13237,15.1543,-66.6621,-48.4004,0.493241,-0.170495,-39.9231,-6.87696,-0.51391,-0.22482,-1.53244,-0.698567,-1.6361,0,-1.78195,42.2631,,J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,W05IMl1DKD1PKWMxW2NIXVtjSF1jKFtjSF1bY0hdMSlbQ0BIXTJbQ0gyXVtDSDJdW05IXVtDQEhdKFtDQEhdMltPSF0pW05IXVtDSDJdL1tDSF09W0NIXS9bQ0gyXWMzW2NIXVtjSF1jKEMoPU8pW09IXSlbY0hdW2NIXTM=,PPSgrid,S-OPLS,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/277/277_23.smi:1-1,/home/andy/proj/701/output/2026_07_07_SMILES-RNN_PR_run/PR_GlideDock/277/277_23.smi,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde."
